자치구,세대,총합계,남자,여자,한국인합계,한국인남자,한국인여자,외국인합계,남자외국인,여자외국인,세대당인구,65세이상고령자
합계,4237610 ,10112070 ,4948481 ,5163589 ,9838892 ,4817507 ,5021385 ,273178 ,130974 ,142204 ,2.32 ,1382420 
종로구,73879 ,164348 ,79962 ,84386 ,154549 ,75749 ,78800 ,9799 ,4213 ,5586 ,2.09 ,26429 
중구,60903 ,135139 ,66582 ,68557 ,126082 ,62376 ,63706 ,9057 ,4206 ,4851 ,2.07 ,21655 
용산구,108497 ,245411 ,119985 ,125426 ,229909 ,111262 ,118647 ,15502 ,8723 ,6779 ,2.12 ,37238 
성동구,134543 ,314551 ,154672 ,159879 ,306532 ,150937 ,155595 ,8019 ,3735 ,4284 ,2.28 ,41752 
광진구,161407 ,371671 ,180206 ,191465 ,357149 ,173946 ,183203 ,14522 ,6260 ,8262 ,2.21 ,44470 
동대문구,160489 ,364962 ,180381 ,184581 ,349308 ,174476 ,174832 ,15654 ,5905 ,9749 ,2.18 ,56284 
중랑구,179600 ,411552 ,204411 ,207141 ,406868 ,202526 ,204342 ,4684 ,1885 ,2799 ,2.27 ,59992 
성북구,187234 ,453902 ,220024 ,233878 ,442226 ,215421 ,226805 ,11676 ,4603 ,7073 ,2.36 ,66896 
강북구,143139 ,327511 ,159853 ,167658 ,323862 ,158440 ,165422 ,3649 ,1413 ,2236 ,2.26 ,57002 
도봉구,137479 ,345041 ,168833 ,176208 ,342861 ,168009 ,174852 ,2180 ,824 ,1356 ,2.49 ,54293 
노원구,217999 ,555803 ,269762 ,286041 ,551902 ,268144 ,283758 ,3901 ,1618 ,2283 ,2.53 ,75081 
은평구,203431 ,490253 ,237542 ,252711 ,485902 ,235674 ,250228 ,4351 ,1868 ,2483 ,2.39 ,75535 
서대문구,137758 ,324871 ,154960 ,169911 ,312311 ,150793 ,161518 ,12560 ,4167 ,8393 ,2.27 ,49645 
마포구,170219 ,385624 ,182905 ,202719 ,374742 ,178661 ,196081 ,10882 ,4244 ,6638 ,2.20 ,50122 
양천구,176559 ,473087 ,233189 ,239898 ,469221 ,231409 ,237812 ,3866 ,1780 ,2086 ,2.66 ,56070 
강서구,256042 ,608361 ,296098 ,312263 ,601696 ,292871 ,308825 ,6665 ,3227 ,3438 ,2.35 ,77381 
구로구,171751 ,440396 ,220903 ,219493 ,408369 ,202731 ,205638 ,32027 ,18172 ,13855 ,2.38 ,59838 
금천구,106333 ,253344 ,129791 ,123553 ,234238 ,119023 ,115215 ,19106 ,10768 ,8338 ,2.20 ,34640 
영등포구,168784 ,403988 ,203472 ,200516 ,369128 ,184127 ,185001 ,34860 ,19345 ,15515 ,2.19 ,54704 
동작구,173544 ,406715 ,197848 ,208867 ,394353 ,192215 ,202138 ,12362 ,5633 ,6729 ,2.27 ,57711 
관악구,258536 ,522292 ,262428 ,259864 ,504445 ,253911 ,250534 ,17847 ,8517 ,9330 ,1.95 ,70807 
서초구,174225 ,445164 ,213279 ,231885 ,440954 ,211156 ,229798 ,4210 ,2123 ,2087 ,2.53 ,54055 
강남구,231219 ,557865 ,267314 ,290551 ,552976 ,264834 ,288142 ,4889 ,2480 ,2409 ,2.39 ,65859 
송파구,266550 ,671994 ,326511 ,345483 ,665282 ,323228 ,342054 ,6712 ,3283 ,3429 ,2.50 ,77978 
강동구,177490 ,438225 ,217570 ,220655 ,434027 ,215588 ,218439 ,4198 ,1982 ,2216 ,2.45 ,56983 
